Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Amber,"Its name is due to its Ingredient Musk (Moschcus moschiferus secretion).
						According to Mizaj it is Motadil",,,"Musk

						Moschcus moschiferus secretion","Zarishk (Berberis aristata fruit), 15 gm; Behi Dana (Cydonia quincy seed), 15 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 10 gm; Sandal safed (Santalum album wood), 10 gm; Sandal surkh (Pterocarpus santalinus wood), 10 gm; Kashneez (Coriandrum sativum fruit), 10 gm; Gule Gaozaban (Borage officinalis flower), 10 gm; Amla Muqashsher (Emblica officinalis Gaertin pieces of fruit), 10 gm; Tukhme Khurfa (Portulaca oleracea seed), 10 gm; Gule Surkh (Rosa damascena flower), 7 gm; Abresham (Bombax mori Cocoo), 7 gm; Dar Chini (Cinnamomum zeylanicum bark), 7 gm; Behman safed (Centaurea behen root), 7 gm; Behman surkh (Salvia heamatodes root), 7 gm; Daroonaj Aqrabi (Doronicum hookarii root), 7 gm; Ood Hindi (Aquilaria agallocha fungus), 5 gm; Badranjboya (Melissa parviflora herb), 5 gm; Mastagi (Pistacia lantiscus gum), 4 gm; Ushna (Usnea longissima), 4 gm; Dana Heel Khurd (Elettaria cardamomum seed), 4 gm; Sugar (),  two times of all ingredients; Asl (Honey), equal to all ingredients weight ; Aab Seb Sheereen (Pyrus malus fruit juice), equal to all ingredientsweight ; Zafran (Crocus sativa gynacium), 5 gm; Musk (Moschcus moschiferus secretion), 2 gm; Amber (Ambra grasea secretion), 2 gm","Make the powder of all drugs except Zafran (Crocussativa gynacium) Musk
						(Moschcus moschiferus secretion) Amber(Ambra grasea secretion). Make Qiwam
						(Basic Solution of Particular consistency) of Asl (Honey), sugar and Aab Seb
						Sheereen (Pyrusmalus fruit juice). Mix the powder of drugs. Lastly mix
						solution of Zafran (Crocus sativa gynacium)Musk (Moschcus
						moschiferussecretion) Amber (Ambra grasea secretion).","5-7gm with Arq Gaozaban
						125
						ml, Arq Badiyan
						125
						ml or water"
Sugar,,,,Gule Surkh (Rosa damascena flower),"Gule Surkh (Rosa damascena flower),  ; Sugar (), three times of flowers ","Mix flowers in sugar, pour little Arq Gulab and mesh with hands. Keep in sun
						for three to four days then use it.","25-50
						gm"
Sugar,,,,Gule Chandni (Colonyction aculeatum flower),"Gule Chandni (Colonyction aculeatum flower),  ; Sugar (), 3times of weight of flowers ","Mix flowers in sugar, pour little Arq Gulab and mesh with hands. Keep in
						moonlight for three to four days then use it.","10-25
						gm"
Sugar,,,,Gule Sevti (Rosa alba flower),"Gule Sevti (Rosa alba flower), as needed ; Sugar (), 3 ","Mix flowers in sugar, pour little Arq Baidmishk and mesh with hands. Keep in
						shade for three to four days then use it.","25
						gm with Arq Gaozaban"
Asgand,"Its name is due to its chief ingredient Asgand (Wiithania somnifera Dunal
						root)",,,Asgand (Wiithania somnifera Dunal root),"Moosli safed (Chlorophytum arundinacecum root), 14 gm; Peeplamool (Piper longum root), 14 gm; Peepal (Piper longum fruit), 14 gm; Sataver (Asparagus racemosus root), 13 gm; Bidhara (), 13 gm; Zanjabil (Zingiber officinalis rhizome), 13 gm; Asgand (Wiithania somnifera Dunal root), 13 gm","Make powder of all drugs and mix Asl (Honey) or cane sugar as needed and
						make pills of size of Unnab (Zizyfus sativa fruit).",2 tablet at bedtime with Arq Badiyan or fresh water
Arq Badiyan,Its name is due to its chief ingredient Ayarij Feqra (Aloe),Mus-hil Balghem (Phlegm Purgative),"Sara (Epilepsy), Sakta (Coma) and Sar Dard (headache)",Ayarij Feqra (Aloe vera dried juice of leaf),"Ayarij Feqra (Aloe vera dried juice of leaf), 4 gm; Turbud (Ipomea turpenthum root), 3 gm; Asaroon (Valerina wallichil DC root), 2 gm; Ghareequn (Polyporus officinalis), 2 gm; Habbunneel (Ipomoea hederacea fruit), 2 gm; Kateera (Astragallus gummifera gum), 1 gm; Namak Hindi (Sodium chloride), 1 ½ gm; Shehem Hanzal (Citrullus colocynthis septum in fruit), 1 ½ gm; Arq Badiyan (), as needed ","Make powder of all drugs and mix Arq Badiyan and make pill of same size as
						Moong (Phaseolus aureus seed)",5-7 pills in the early morning
Misri,Its name is due to its chief ingredient Jadwar (Delphinium denudatum root),"Muqavvi Aaza Raisa (Vital Organs Tonic), Muqavvi Bah
						(Aphrodisiac)","Zofe Bah (Sexual Weakness), Jiryan (Spermatorrhoea), Sual (Cough) and Nazla
						Muzmin (Chronic Cold)",Jadwar (Delphinium denudatum root),"Afiun (Papaver somniferum Linn latex), 60 gm; Jadwar (Delphinium denudatum root), 10 gm; Zafran (Crocus sativa gynacium), 5 gm; Sheer Gao (Cow Milk), 5 litre; Narjeel (Lodoicea maldivica Pers fruit), 1 in number ; Bisbasa (Myristica fragrans fruit coat), 5 gm; Behman safed (Centaurea behen root), 5 gm; Behman surkh (Salvia heamatodes root), 5 gm; Sumbuluttib (Nardostachis jatamansi root), 5 gm; Maghz Badam Sheereen (Prunus amygdalus fruit kernel), 3 gm; Maghz Chilghoza (Pinus gerardiana fruit kernel), 2 ¼gm; Tukhme Khurfa (Portulaca oleracea seed), 2 ¼ gm; Tabasheer (Bambusa arundinasia dried exudate on node), 2 gm; Samagh Arabi (Acacia arabica gum), 2 gm; Bazrulbanj (Hyoscyamus albus seed), 2 gm; Beikh Luffah (Atropa belladonna root), 2 gm; Jaifal (Myristica fragrance fruit), 2 gm; Roghan Balsan (Balsamodendron opobalsamum oil), 10 ml; Misri (sugar cubes), 10 gm","Make powder of all drugs. Mix oil in powder and ground with Aqua Rosa and
						make tablet of size of Chana (Cicer arietinum seed)",1-2 pills with mil
Zaranbad,"This drug is used particularly in liver disorders. Its name is due to its
						chief ingredient Naushader (Ammonium chloride).","Mohallil Jiger (Resolvant of liver inflammation), Hazim (Digestive)","Waram Jiger (Hepatitis), Sooe Hazm (Dyspepsia) and Qabz (Constipation)",Naushader (Ammonium chloride),"Naushader (Ammonium chloride),  ; Namak Tuam (Sodium chloride),  ; Namak Siyah (Sodium sulphate with Sodium chloride),  ; Namak lahori (Sodium Chlorate),  ; Haleela Siyah (Terminelia chebula unripe fruit),  ; Post Haleela Kabuli (Terminelia chebula ripe fruit),  ; Baobarang (Artemisia vulgaris seed),  ; Filfil Siyah (Piper nigrum fruit),  ; Zanjabil (Zingiber officinalis rhizome),  ; Suhaga (Borax),  ; Zaranbad (Curcuma zedoria root),  ","All in equal weight .Make powder of all drugs. Mix with Arq Gulab and make
						tablet of size of Chana (Cicer arietinum seed).",2-4 pills after meals
Arq Gulab,"Its name is due to its chief ingredient Marvareed (Mytilus margaritiferus
						pearl)",,,Marvareed (Mytilus margaritiferus pearl),"Suhaga Biryan (Borax roasted), 60 gm; Mazoo (Quercus infectoria abnormal growth), 60 gm; Kuchla Mudabbar (Strychnos nuxvomica detoxified seed), 60 gm; Mastagi (Pistacia lantiscus gum), 120 gm; Marvareed (Mytilus margaritiferus pearl), 15 gm; Amber (Ambra grasea), 15 gm; Arq Gulab (),  ","Make powder of all drugs. Make solution of Amber (Ambra grasea) in Arq
						Gulab, Mix powder in solution, make pill of size of Chana (Cicer arietinum
						seed).",1-2 pill in morning and evening with Arq Ambe
Aab Gandana,Its name is due to its chief ingredient Muqil (Commiphora mukul gum),,,Muqil (Commiphora mukul gum),"Post Haleela Zard (Terminelia chebula half ripe fruit), 150 gm; Post Haleela Kabuli (Terminelia chebula ripe fruit), 150 gm; Muqil (Commiphora mukul gum), 150 gm; Turbud (Ipomea turpenthum root), 100 gm; Sakbeenaj (Ferula persica Willd), 50 gm; Khardal (Bressica alba seed), 20 gm; Aab Gandana (Allium ascalonicum juice), as needed ","Make powder of all drugs. Fry it in Ghee. Make solution of Muqil (Commiphora
						mukul gum) and Sakbeenaj (Ferula persica Willd) in Aab Gandana (Allium
						ascalonicum juice) or Aab Berg Piyaz (Allium cepa leaf juice), Mix powder in
						solution, make pill of size of gram seed.",2-4 pills at bed time with water
Kat safed,Its name is due to grinding powder in Aab Paan (Piper betel leaf juice),,,Sammulfar (Arsenic),"Sammulfar (Arsenic), 3 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 3 gm; Kat safed (Acacia catechu extract), 3 gm","Make powder of all drugs. Ground drug powder in Aab Paan (Piper betel leaf
						juice), make pill of size of Moong (Phaseolus aureus seed) size",1 pill in the morning with butter or milk
Siyah,Its name is due to its chief ingredient Papeeta (Carica papaya fruit),,,Papeeta (Carica papaya fruit,"Papeeta (Carica papaya fruit), 10 gm; Zanjabil (Zingiber officinalis rhizome), 20 gm; Filfil Siyah (Piper nigrum fruit), 20 gm; Podina (Mentha arvensis herb), 20 gm; Gule Mudar (Calotropis procera flower), 20 gm; Namak lahori (Sodium Chlorate), 20 gm; Siyah (Sodium sulphate with Sodium chloride), 20 gm","Make powder of all drugs. Mix with Arq Leemun (Citrus lemonum fruit juice)
						and make tablet of size of Chana (Cicer arietinum seed).",1 pill with water after meals
Samagh Arabi,,,,Tukhm Datura Safed (Datura alba seed),"Tukhm Datura Safed (Datura alba seed), 60 gm; Revand Chini (Rheum palmatum root), 40 gm; Zanjabil (Zingiber officinalis rhizome), 20 gm; Samagh Arabi (Acacia arabica gum), 20 gm","Make powder of all drugs. Make solution of gum in water Mix drug powder in
						gum solution. Make tablet of size of Chana (Cicer arietinum seed)",1 pill in morning and evening
Sooranjan,"Its name is due to its chief ingredient Sooranjan (Colchicum
						leutium root)",,,Sooranjan (Colchicum leutium root),"Sabr zard (Aloe vera dried leaf juice),  ; Post Haleela Zard (Terminelia chebula half-ripe fruit),  ; Sooranjan (Colchicum leutium root),  ","Equal in weight. Make powder of all drugs. Mix drug powder in water or Aab
						Adrak (Zingiber officinalis juice), make pill of size of gram",2 pill
Maghz Gheekwar,Its name is due to its chief ingredient Tinkar (Borax),,,Tinkar (Borax),"Suhaga (Borax), 25 gm; Ajwain Khorasani (Hyoscyamus albus seed), 30 gm; Filfil Siyah (Piper nigrum fruit), 125 gm; Sabr zard (Aloe vera dried leaf juice), 175 gm; Maghz Gheekwar (Aloe vera leaf juice), as needed ","Make powder of all drugs. Mix drug powder in Maghz Gheekwar (Aloe vera leaf
						juice), make pill of size of gram",2-4 pill after meals or bedtime
Asl,Its name is due to its Chief Ingredient Kashneez (Coriandrum sativum fruit),"Munaqqi Dimagh (Drugs clearing vitiated humour from the Brain), Munaqqi Meda
						(Drugs clearing vitiated humour from the stomach),","Amraz Sar (Diseases of Head), Amraz Gosh (Diseases of Ear) due to Cold and
						Cough.","Haleelajat [Haleela Zard (Terminelia chebula halfripe fruit), Haleela Kabuli
						(Terminelia chebula ripe fruit), and Haleela Siyah (Terminelia chebula
						unripe fruit)] and Kashneez (Coriandrum sativum fruit)","Amla Muqashsher (Emblica officinalis Gaertin fruit),  ; Kashneez Khushk (Coriandrum sativum fruit),  ; Post Balela (Terminelia belerica fruit),  ; Post Haleela Kabuli (Terminelia chebula ripe fruit),  ; Post Haleela Siyah (Terminelia chebula unripe fruit),  ; Post Haleela Zard (Terminelia chebula half-ripe fruit),  ; Asl (Honey),  ","All in equal part. Three times of all drugs weight Make powder of all drugs.
						Mix the Haleelajat [Haleela Zard (Terminelia chebula half-ripe fruit),
						Haleela Kabuli (Terminelia chebula ripe fruit), and Haleela Siyah
						(Terminelia chebula unripe fruit)] in Roghan Badam (Prunus amygdalus oil)
						then mix in Qiwam (Basic Solution of Particular consistency) of Asl (Honey)",10-25gm with 125 ml Arq Gaozaban
Asl,Its name is due to its Chief Ingredient Muqil (Commiphora mukul gum),Dafe Qabz (Laxative),,"Haleelajat [Haleela Zard (Terminelia chebula halfripe fruit), Haleela Kabuli
						(Terminelia chebula ripe fruit), and Haleela Siyah (Terminelia chebula
						unripe fruit)]","Amla (Emblica officinalis Gaertin fruit), 35 gm; Post Balela (Terminelia belerica fruit)), 35 gm; Post Haleela Kabuli (Terminelia chebula ripe fruit), 35 gm; Post Haleela Siyah (Terminelia chebula unripe fruit), 35 gm; Post Haleela Zard (Terminelia chebula half-ripe fruit), 35 gm; Muqil (Commiphora mukul gum), 95 gm; Asl (Honey),  ","Three times of all drugs weight .Mix the Haleelajat [Haleela Zard
						(Terminelia chebula half-ripe fruit), Haleela Kabuli (Terminelia chebula
						ripe fruit), and Haleela Siyah (Terminelia chebula unripe fruit)] in Roghan
						Badam (Prunus amygdalus oil) then mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey",5-10gm with 125ml Arq Gaozaban
Asl,"Its name is due to its Chief Ingredient Ustokhuddus (Lavandula stoechas
						flower)",Munaqqi Dimagh (Drugs clearing vitiated humour from the Brain),"Dimaghi Amraz (Diseases of Brain) as Suda (Headache), Balghami Amraz
						(Phlegmatic Diseases) and Saudavi Amraz (Melancholic Diseases). Its
						continuous use keeps hair black.","Haleela (Terminelia chebula fruit), Balela (Terminelia belerica), Amla
						(Emblica officinalis fruits) and Ustokhuddus (Lavandula stoechas flower)","Afteemoon (Cuscuta reflexa herb),  ; Amla (Emblica officinalis Gaertin fruit),  ; Berg Senna (Cassia senna leaf),  ; Bisfaij (Polypodium vulgare Linn root),  ; Kishmish (Vitis vinifera dried fruit),  ; Mastagi (Pistacia lantiscus gum),  ; Maveez Munaqqa (Vitis vinifera dried seed less fruit),  ; Post Balela (Terminelia belerica fruit),  ; Post Haleela Kabuli (Terminelia chebula ripe fruit),  ; Post Haleela Siyah (Terminelia chebula unripe fruit),  ; Post Haleela Zard (Terminelia chebula half-ripe fruit),  ; Turbud (Ipomea turpenthum root),  ; Ustokhuddus (Lavandula stoechas flower),  ; Asl (Honey),  ","Three times of all drugs weight..All in equal parts Make powder of all. Mix
						the Haleelajat (Haleela Zard(Terminelia chebula half-ripe fruit), Haleela
						Kabuli (Terminelia chebula ripe fruit), and Haleela Siyah (Terminelia
						chebula unripe fruit) in Roghan Badam (Prunus amygdalus oil) then mix in
						Qiwam Basic Solution of Particular consistency) of Asl (Honey)","5-10
						gm with 125
						mlArq Gaozaban"
